0,0
-1.40933,-21.2101
-1.41364,-21.2102
-1.52525,-21.2128
-1.6465,-21.2156
-1.77417,-21.2197
-1.89242,-21.2244
-2.03174,-21.2295
-2.14985,-21.2355
-2.26151,-21.243
-2.40175,-21.2525
-2.53976,-21.2618
-2.67059,-21.2727
-2.80952,-21.278
-2.93007,-21.2802
-3.06089,-21.2849
-3.19955,-21.2902
-3.33803,-21.2952
-3.44908,-21.2992
-3.568,-21.3034
-3.70772,-21.308
-3.82045,-21.3135
-3.94046,-21.319
-4.06044,-21.3207
-4.19202,-21.3236
-4.31181,-21.3236
-4.43107,-21.3236
-4.55047,-21.3237
-4.68524,-21.3236
-4.80512,-21.3238
-4.94336,-21.3203
-5.07904,-21.3111
-5.21586,-21.2947
-5.33641,-21.2768
-5.46791,-21.2589
-5.58255,-21.2413
-5.69811,-21.2221
-5.81156,-21.2056
-5.93226,-21.1869
-6.0657,-21.1662
-6.19754,-21.1479
-6.31321,-21.1262
-6.42904,-21.0967
-6.55464,-21.0604
-6.6595,-21.0298
-6.75625,-20.9939
-6.84802,-20.9512
-6.93692,-20.902
-7.03086,-20.8397
-7.12345,-20.7745
-7.21506,-20.7044
-7.28682,-20.637
-7.34921,-20.5616
-7.40898,-20.4638
-7.452,-20.3741
-7.48547,-20.2832
-7.51324,-20.1898
-7.54056,-20.0954
-7.56804,-19.9999
-7.59251,-19.8903
-7.6132,-19.7729
-7.63519,-19.6364
-7.65338,-19.5215
-7.6686,-19.4051
-7.68684,-19.2676
-7.7032,-19.1494
-7.71734,-19.0335
-7.73113,-18.9144
-7.74884,-18.7802
-7.76384,-18.6449
-7.77606,-18.5258
-7.79114,-18.3876
-7.80579,-18.2523
-7.8188,-18.1138
-7.82992,-17.9945
-7.84304,-17.859
-7.85048,-17.7261
-7.85414,-17.5871
-7.85789,-17.4698
-7.86206,-17.3325
-7.86463,-17.1937
-7.86758,-17.0773
-7.87135,-16.9588
-7.87348,-16.8204
-7.87599,-16.7061
-7.8821,-16.585
-7.88884,-16.4483
-7.89436,-16.329
-7.90388,-16.1946
