0,0
-1.40933,-21.2101
-1.40933,-21.2101
-1.40933,-21.2101
-1.494,-21.2121
-1.61395,-21.2148
-1.7328,-21.2183
-1.86142,-21.2232
-1.9808,-21.2278
-2.09941,-21.2332
-2.20643,-21.2392
-2.32562,-21.2465
-2.44563,-21.2535
-2.56113,-21.2605
-2.69624,-21.2706
-2.83343,-21.2768
-2.95202,-21.2808
-3.0831,-21.2876
-3.20136,-21.2935
-3.32293,-21.2981
-3.44923,-21.3053
-3.56747,-21.3133
-3.68717,-21.3204
-3.81467,-21.3237
-3.95455,-21.3236
-4.07503,-21.3237
-4.20106,-21.3261
-4.32069,-21.3325
-4.45823,-21.3385
-4.59274,-21.3444
-4.73187,-21.3535
-4.84684,-21.3467
-4.96129,-21.3437
-5.07899,-21.3428
-5.21669,-21.3441
-5.33336,-21.3322
-5.46365,-21.3131
-5.58156,-21.2919
-5.69834,-21.2694
-5.83207,-21.2442
-5.94692,-21.2216
-6.0823,-21.1924
-6.19774,-21.1707
-6.31342,-21.1463
-6.42667,-21.1172
-6.5426,-21.0872
